lang,familiar_ml,familiar_metrics,experience_explainability,experience_counterfactuals,need_explainability,education,education_field,engineering_specialization,q1_IP_pos,q1_BP_pos,q1_RP_pos,q1_topsis_pos,q5_IP_pos,q5_BP_pos,q5_RP_pos,q5_topsis_pos,q7_IP_pos,q7_BP_pos,q7_RP_pos,q7_topsis_pos,q13_IP_pos,q13_BP_pos,q13_RP_pos,q13_topsis_pos,q15_IP_pos,q15_BP_pos,q15_RP_pos,q15_topsis_pos,q_most_important_criterion,q_alternative_criteria
pl,Yes,Yes,Yes,Yes,Yes,Higher (Bachelor's or Master's degree),Engineering and Technology,Artificial Intelligence / Data Science,3,4,1,2,3,1,4,2,2,1,3,2,1,2,4,3,1,4,3,2,similarity;smile,
pl,No,,No,,No,Secondary,,,,,,,1,2,4,3,1,3,4,2,2,1,4,3,,,,,other,Nie zastanawiałam się nad tym
pl,Yes,No,Yes,No,Yes,Doctorate (PhD) or higher,Engineering and Technology,Computer Science / Software Engineering,2,3,1,1,1,2,4,3,3,3,2,1,2,1,3,3,1,2,1,1,other,
pl,No,,No,,No,Higher (Bachelor's or Master's degree),Engineering and Technology,Other engineering field,1,2,3,4,3,2,4,1,3,1,4,2,,,,,,,,,similarity,
pl,No,,No,,No,Higher (Bachelor's or Master's degree),Engineering and Technology,Other engineering field,1,2,4,3,2,3,4,1,2,1,4,3,2,1,4,3,1,3,2,1,similarity,
pl,Yes,Yes,Yes,No,Yes,Higher (Bachelor's or Master's degree),Engineering and Technology,Artificial Intelligence / Data Science,1,3,2,2,2,1,4,2,1,3,3,2,2,1,4,4,1,4,2,1,smile,
pl,No,,No,,No,Higher (Bachelor's or Master's degree),Medical and Health Sciences,,1,4,3,2,3,1,4,2,2,1,4,3,1,2,3,4,1,3,2,1,similarity,
pl,No,,No,,Yes,Primary,,,1,4,3,2,1,3,4,2,3,4,2,1,2,1,3,4,2,4,3,1,similarity;smile,
pl,Yes,No,Yes,Yes,Yes,Higher (Bachelor's or Master's degree),Engineering and Technology,Artificial Intelligence / Data Science,2,4,4,4,4,3,4,2,3,2,4,1,4,1,4,4,2,4,1,1,similarity;smile,
pl,Yes,No,No,,Yes,Secondary,,,2,4,3,3,2,3,4,1,3,2,4,1,2,3,4,4,2,4,3,2,similarity,
pl,No,,No,,Yes,Secondary,,,3,4,2,1,1,2,4,3,1,3,4,2,1,2,4,3,2,4,3,1,similarity,
pl,Yes,No,No,,Yes,Secondary,,,4,1,2,3,2,3,1,4,2,4,1,3,3,1,1,1,3,1,4,2,similarity,
pl,No,,No,,Yes,Secondary,,,3,4,2,1,2,3,4,1,2,4,3,1,2,1,4,3,2,4,1,2,similarity;smile,
pl,Yes,No,No,,Yes,Secondary,,,1,3,2,2,1,2,4,3,2,3,4,1,2,1,4,3,1,3,2,1,similarity,
pl,Yes,No,Yes,No,No,Secondary,,,4,3,2,1,2,3,4,1,2,3,4,1,1,2,4,3,1,4,3,2,similarity;smile,
pl,Yes,No,No,,Yes,Secondary,,,3,4,2,1,2,3,4,1,2,1,4,3,2,1,4,3,2,3,1,2,similarity,
pl,Yes,No,No,,Yes,Higher (Bachelor's or Master's degree),Engineering and Technology,Computer Science / Software Engineering,1,3,2,2,3,2,4,1,1,3,4,2,2,1,4,3,1,4,3,2,similarity;smile,
pl,Yes,No,Yes,No,Yes,Higher (Bachelor's or Master's degree),Engineering and Technology,Computer Science / Software Engineering,4,1,3,2,2,4,1,3,4,2,1,3,3,4,1,2,3,1,2,4,similarity;smile,
pl,No,,No,,Yes,Secondary,,,3,4,1,2,1,2,4,3,2,3,4,1,2,1,1,3,1,3,2,1,similarity,
pl,Yes,Yes,Yes,Yes,Yes,Secondary,,,1,4,2,3,1,3,4,2,,,,,1,2,4,3,,,,,similarity,
pl,Yes,No,No,,Yes,Secondary,,,3,4,2,2,3,4,4,2,2,4,3,1,4,4,4,4,1,4,3,1,similarity,
pl,Yes,No,No,,Yes,Secondary,,,3,4,1,2,2,3,4,1,3,1,4,2,1,2,4,3,1,4,2,2,similarity;smile,
pl,Yes,No,No,,Yes,Secondary,,,1,3,2,2,2,3,4,1,2,3,4,1,1,2,4,3,1,3,2,1,similarity,
pl,Yes,No,No,,Yes,Secondary,,,2,4,2,2,1,2,4,3,2,3,4,1,2,1,4,3,1,4,2,1,similarity,
pl,No,,No,,Yes,Secondary,,,2,4,2,1,2,2,3,1,4,3,2,1,1,2,4,3,1,3,2,1,similarity,
pl,Yes,Yes,Yes,Yes,Yes,Secondary,,,1,4,2,2,2,3,4,1,,,,,2,1,4,4,,,,,similarity;smile,
pl,Yes,No,No,,Yes,Secondary,,,1,4,3,2,3,2,4,1,1,4,3,2,1,2,4,3,2,4,3,1,similarity,
pl,Yes,No,Yes,Yes,No,Secondary,,,3,4,2,1,1,3,4,2,3,2,4,1,2,1,4,3,1,4,2,3,similarity;smile,
pl,Yes,No,No,,Yes,Secondary,,,2,3,2,1,1,3,4,2,1,1,2,2,1,2,4,3,2,3,1,2,smile,
